개설강좌,    ,    ,      ,  ,                                                                                                   ,                                                                           ,    ,          ,      ,        ,                           ,      ,   ,    ,    ,                                                                        ,
    ,    ,    ,      ,  ,                                                                                                   ,                                                                           ,    ,          ,      ,        ,                           ,      ,   ,    ,    ,                                                                        ,
NO  ,개설전공,개설과정,과목번호  ,분반,교과목명                                                                                               ,담당교수                                                                       ,이수구분,과목세부구분    ,강의실습구분,교과분야    ,교과영역                       ,성적부여방법,학점 ,이론시수,실습시수,요일/교시/강의실                                                               ,비고
57  ,기초학부,학사  ,ES900 ,16,Thesis (이.공)                                                                                       ,이홍경                                                                        ,교선필수,연구(Thesis),이론    ,기초공학    ,MIREBraiN                  ,S/U   ,1.0,5.0 ,0.0 ,토09:00-14:00(E7 - 233)                                                  ,
58  ,기초학부,학사  ,ES900 ,17,Thesis (이.공)                                                                                       ,미배정                                                                        ,교선필수,연구(Thesis),이론    ,기초공학    ,MIREBraiN                  ,S/U   ,1.0,5.0 ,0.0 ,토09:00-14:00(E7 - 233)                                                  ,
59  ,기초학부,학사  ,ES900 ,18,Thesis (이.공)                                                                                       ,미배정                                                                        ,교선필수,연구(Thesis),이론    ,기초공학    ,MIREBraiN                  ,S/U   ,1.0,5.0 ,0.0 ,토09:00-14:00(E7 - 233)                                                  ,
60  ,기초학부,학사  ,ES900 ,19,Thesis (이.공)                                                                                       ,미배정                                                                        ,교선필수,연구(Thesis),이론    ,기초공학    ,MIREBraiN                  ,S/U   ,1.0,5.0 ,0.0 ,토09:00-14:00(E7 - 233)                                                  ,
61  ,기초학부,학사  ,HL101 ,01,비교역사학                                                                                              ,김대륜                                                                        ,공통필수,교과        ,이론    ,인문소양    ,인문사회                       ,S/U   ,3.0,3.0 ,0.0 ,"월10:30-12:00(E7 - 224), 목10:30-12:00(E7 - 224)"                        ,2014~17학번만 수강신청
62  ,기초학부,학사  ,HL101 ,02,비교역사학                                                                                              ,김대륜                                                                        ,공통필수,교과        ,이론    ,인문소양    ,인문사회                       ,S/U   ,3.0,3.0 ,0.0 ,"월14:30-16:00(E7 - L22), 목14:30-16:00(E7 - L22)"                        ,2014~17학번만 수강신청
63  ,기초학부,학사  ,HL101a,01,비교역사학                                                                                              ,김대륜                                                                        ,공통필수,교과        ,이론    ,인문소양    ,인문사회                       ,등급    ,3.0,3.0 ,0.0 ,"월10:30-12:00(E7 - 224), 목10:30-12:00(E7 - 224)"                        ,2018학번 이후 학번만 수강신청
64  ,기초학부,학사  ,HL101a,02,비교역사학                                                                                              ,김대륜                                                                        ,공통필수,교과        ,이론    ,인문소양    ,인문사회                       ,등급    ,3.0,3.0 ,0.0 ,"월14:30-16:00(E7 - L22), 목14:30-16:00(E7 - L22)"                        ,2018학번 이후 학번만 수강신청
65  ,기초학부,학사  ,HL103 ,01,음악 I - 클래식 기타                                                                                      ,박종호                                                                        ,공통필수,교과        ,실습    ,인문소양    ,음악                         ,S/U   ,1.0,0.0 ,2.0 ,월16:00-18:00(S1 - 304)                                                  ,
66  ,기초학부,학사  ,HL103 ,02,음악 I - 클래식 기타                                                                                      ,박종호                                                                        ,공통필수,교과        ,실습    ,인문소양    ,음악                         ,S/U   ,1.0,0.0 ,2.0 ,월18:30-20:30(S1 - 304)                                                  ,
67  ,기초학부,학사  ,HL103 ,03,음악 I - 클래식 기타                                                                                      ,박종호                                                                        ,공통필수,교과        ,실습    ,인문소양    ,음악                         ,S/U   ,1.0,0.0 ,2.0 ,월20:30-22:30(S1 - 304)                                                  ,
68  ,기초학부,학사  ,HL103 ,04,음악 I - 바이올린                                                                                        ,정진희                                                                        ,공통필수,교과        ,실습    ,인문소양    ,음악                         ,S/U   ,1.0,0.0 ,2.0 ,월16:00-18:00(S1 - 303)                                                  ,
69  ,기초학부,학사  ,HL103 ,05,음악 I - 바이올린(심화)                                                                                    ,정진희                                                                        ,공통필수,교과        ,실습    ,인문소양    ,음악                         ,S/U   ,1.0,0.0 ,2.0 ,월18:30-20:30(S1 - 303)                                                  ,
70  ,기초학부,학사  ,HL103 ,06,음악 I - 첼로                                                                                          ,정광준                                                                        ,공통필수,교과        ,실습    ,인문소양    ,음악                         ,S/U   ,1.0,0.0 ,2.0 ,월16:00-18:00(S1 - 301)                                                  ,
71  ,기초학부,학사  ,HL103 ,07,음악 I - 앙상블                                                                                         ,정광준                                                                        ,공통필수,교과        ,실습    ,인문소양    ,음악                         ,S/U   ,1.0,0.0 ,2.0 ,월18:30-20:30(S1 - 301)                                                  ,
72  ,기초학부,학사  ,HL103 ,08,음악 I - 클라리넷                                                                                        ,나혜수                                                                        ,공통필수,교과        ,실습    ,인문소양    ,음악                         ,S/U   ,1.0,0.0 ,2.0 ,월16:00-18:00(S1 - 305)                                                  ,
73  ,기초학부,학사  ,HL103 ,09,음악 I - 클라리넷                                                                                        ,나혜수                                                                        ,공통필수,교과        ,실습    ,인문소양    ,음악                         ,S/U   ,1.0,0.0 ,2.0 ,월18:30-20:30(S1 - 305)                                                  ,
74  ,기초학부,학사  ,HL103 ,10,음악 I - 피아노                                                                                         ,송재경                                                                        ,공통필수,교과        ,실습    ,인문소양    ,음악                         ,S/U   ,1.0,0.0 ,2.0 ,화16:00-18:00(S1 - 309)                                                  ,
75  ,기초학부,학사  ,HL103 ,11,음악 I - 피아노                                                                                         ,송재경                                                                        ,공통필수,교과        ,실습    ,인문소양    ,음악                         ,S/U   ,1.0,0.0 ,2.0 ,화18:30-20:30(S1 - 309)                                                  ,
76  ,기초학부,학사  ,HL103 ,12,음악 I - 피아노 4hands 앙상블                                                                              ,송재경                                                                        ,공통필수,교과        ,실습    ,인문소양    ,음악                         ,S/U   ,1.0,0.0 ,2.0 ,수10:00-12:00(S1 - 309)                                                  ,
77  ,기초학부,학사  ,HL103 ,13,음악 I - 바이올린                                                                                        ,이강원                                                                        ,공통필수,교과        ,실습    ,인문소양    ,음악                         ,S/U   ,1.0,0.0 ,2.0 ,화18:30-20:30(S1 - 303)                                                  ,
78  ,기초학부,학사  ,HL103 ,14,음악 I - 바이올린                                                                                        ,이강원                                                                        ,공통필수,교과        ,실습    ,인문소양    ,음악                         ,S/U   ,1.0,0.0 ,2.0 ,화20:30-22:30(S1 - 303)                                                  ,
79  ,기초학부,학사  ,HL103 ,15,음악 I - 합창                                                                                          ,김진수                                                                        ,공통필수,교과        ,실습    ,인문소양    ,음악                         ,S/U   ,1.0,0.0 ,2.0 ,화16:00-18:00(S1 - 301)                                                  ,
80  ,기초학부,학사  ,HL103 ,16,음악 I - 합창                                                                                          ,김진수                                                                        ,공통필수,교과        ,실습    ,인문소양    ,음악                         ,S/U   ,1.0,0.0 ,2.0 ,화18:30-20:30(S1 - 301)                                                  ,
81  ,기초학부,학사  ,HL103 ,17,음악 I - 보컬                                                                                          ,김진수                                                                        ,공통필수,교과        ,실습    ,인문소양    ,음악                         ,S/U   ,1.0,0.0 ,2.0 ,화20:30-22:30(S1 - 301)                                                  ,
82  ,기초학부,학사  ,HL105 ,01,체육 I - 태권도 기본과 품새                                                                                  ,이지훈                                                                        ,공통필수,교과        ,실습    ,인문소양    ,체육                         ,S/U   ,1.0,0.0 ,2.0 ,월16:00-18:00(S1 - 111)                                                  ,
83  ,기초학부,학사  ,HL105 ,02,체육 I - 태권도 기본과 품새                                                                                  ,유영호                                                                        ,공통필수,교과        ,실습    ,인문소양    ,체육                         ,S/U   ,1.0,0.0 ,2.0 ,월16:00-18:00(S1 - 108)                                                  ,
84  ,기초학부,학사  ,HL105 ,03,체육 I - 태권도 기본과 품새                                                                                  ,이지훈                                                                        ,공통필수,교과        ,실습    ,인문소양    ,체육                         ,S/U   ,1.0,0.0 ,2.0 ,월18:30-20:30(S1 - 111)                                                  ,
85  ,기초학부,학사  ,HL105 ,04,체육 I - 태권도 기본과 품새                                                                                  ,유영호                                                                        ,공통필수,교과        ,실습    ,인문소양    ,체육                         ,S/U   ,1.0,0.0 ,2.0 ,월18:30-20:30(S1 - 108)                                                  ,
86  ,기초학부,학사  ,HL105 ,05,체육 I - 태권도 기본과 품새                                                                                  ,이지훈                                                                        ,공통필수,교과        ,실습    ,인문소양    ,체육                         ,S/U   ,1.0,0.0 ,2.0 ,목16:30-18:30(S1 - 111)                                                  ,
87  ,기초학부,학사  ,HL105 ,06,체육 I - 태권도 기본과 품새                                                                                  ,김상명                                                                        ,공통필수,교과        ,실습    ,인문소양    ,체육                         ,S/U   ,1.0,0.0 ,2.0 ,목16:30-18:30(S1 - 108)                                                  ,
88  ,기초학부,학사  ,HL105 ,07,체육 I - 태권도 기본과 품새                                                                                  ,이지훈                                                                        ,공통필수,교과        ,실습    ,인문소양    ,체육                         ,S/U   ,1.0,0.0 ,2.0 ,목18:30-20:30(S1 - 111)                                                  ,
