개설강좌,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
NO,개설전공,개설과정,과목번호,분반,교과목명,담당교수,이수구분,과목세부구분,강의실습구분,교과분야,교과영역,성적부여방법,학점,이론시수,실습시수,요일/교시/강의실,비고
43,기초학부,학사,ES733,01,촉매화학 (이.공),유종성,교선필수,교과,이론,기초공학,MIREBraiN,등급,3.0,3.0,0.0,"수13:30-15:00(E6 - 416), 목10:30-12:00(E6 - 416)",영어강의(Delivered in English)
44,기초학부,학사,ES900,01,Thesis (이.공),유종성,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
45,기초학부,학사,ES900,02,Thesis (이.공),장윤희,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
46,기초학부,학사,ES900,03,Thesis (이.공),홍승태,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
47,기초학부,학사,ES900,04,Thesis (이.공),이호춘,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
48,기초학부,학사,ES900,05,Thesis (이.공),이윤구,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
49,기초학부,학사,ES900,06,Thesis (이.공),상가라쥬샨무감,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
50,기초학부,학사,ES900,07,Thesis (이.공),이종수,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
51,기초학부,학사,ES900,08,Thesis (이.공),인수일,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
52,기초학부,학사,ES900,09,Thesis (이.공),이강택,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
53,기초학부,학사,ES900,10,Thesis (이.공),이용민,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
54,기초학부,학사,ES900,11,Thesis (이.공),정대성,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
55,기초학부,학사,ES900,12,Thesis (이.공),이주혁,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
56,기초학부,학사,ES900,13,Thesis (이.공),최종민,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
57,기초학부,학사,ES900,14,Thesis (이.공),양지웅,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
58,기초학부,학사,ES900,15,Thesis (이.공),박치영,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
59,기초학부,학사,HL101,01,비교역사학,김대륜,공통필수,교과,이론,인문소양,인문사회,S/U,3.0,3.0,0.0,"월10:30-12:00(E7 - L21), 목10:30-12:00(E7 - L21)",2014~2017학번만 신청 가능
